id,name
1,Afrikaans
2,Akan
3,Albanian
4,Amharic
5,Arabic
6,Ashante
7,Asl
8,Assyrian
9,Azerbaijani
10,Azeri
11,Bajuni
12,Basque
13,Behdini
14,Belorussian
15,Bengali
16,Berber
17,Bosnian
18,Bravanese
19,Bulgarian
20,Burmese
21,Cakchiquel
22,Cambodian
23,Cantonese
24,Catalan
25,Chaldean
26,Chamorro
27,Chavacano
28,Chin
29,Chuukese
30,Cree
31,Croatian
32,Czech
33,Dakota
34,Danish
35,Dari
36,Dinka
37,Diula
38,Dutch
39,Edo
40,English
41,Estonian
42,Ewe
43,Fante
44,Farsi
45,Fijian Hindi
46,Finnish
47,Flemish
48,French
49,French Canadian
50,Fukienese
51,Fula
52,Fulani
53,Fuzhou
54,Ga
55,Gaddang
56,Gaelic
57,Georgian
58,German
59,Gorani
60,Greek
61,Gujarati
62,Haitian Creole
63,Hakka
64,Hausa
65,Hebrew
66,Hindi
67,Hmong
68,Hungarian
69,Ibanag
70,Ibo
71,Icelandic
72,Igbo
73,Ilocano
74,Indonesian
75,Inuktitut
76,Italian
77,Jakartanese
78,Japanese
79,Javanese
80,Kanjobal
81,Karen
82,Karenni
83,Kashmiri
84,Kazakh
85,Kikuyu
86,Kinyarwanda
87,Kirundi
88,Korean
89,Kosovan
90,Kotokoli
91,Krio
92,Kurdish
93,Kurmanji
94,Kyrgyz
95,Lakota
96,Laotian
97,Latvian
98,Lingala
99,Lithuanian
100,Luganda
101,Luo
102,Maay
103,Macedonian
104,Malay
105,Malayalam
106,Maltese
107,Mandarin
108,Mandingo
109,Mandinka
110,Marathi
111,Marshallese
112,Mien
113,Mina
114,Mirpuri
115,Mixteco
116,Moldavan
117,Mongolian
118,Montenegrin
119,Navajo
120,Neapolitan
121,Nepali
122,Nigerian Pidgin
123,Norwegian
124,Oromo
125,Pahari
126,Papago
127,Papiamento
128,Pashto
129,Patois
130,Polish
131,Portuguese
132,Pothwari
133,Pulaar
134,Punjabi
135,Putian
136,Quichua
137,Romanian
138,Russian
139,Samoan
140,Serbian
141,Shanghainese
142,Shona
143,Sichuan
144,Sicilian
145,Sinhalese
146,Slovak
147,Somali
148,Sorani
149,Spanish
150,Sudanese Arabic
151,Sundanese
152,Susu
153,Swahili
154,Swedish
155,Sylhetti
156,Tagalog
157,Taiwanese
158,Tajik
159,Tamil
160,Telugu
161,Thai
162,Tibetan
163,Tigre
164,Tigrinya
165,Toishanese
166,Tongan
167,Toucouleur
168,Trique
169,Tshiluba
170,Turkish
171,Twi
172,Ukrainian
173,Urdu
174,Uyghur
175,Uzbek
176,Vietnamese
177,Visayan
178,Welsh
179,Wolof
180,Yiddish
181,Yoruba
182,Yupik
