name,address,hub_id,website,phone number,email,styles,hours,photo
Canggu Studio,"Jl. Nelayan No.32, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",1,http://www.thecanggustudio.com/,62 811-3888-472,contact@canggustudio.com,"Power, Hatha, Vinyasa, Ashtanga, Yin",8:30 - 19:00,https://res.cloudinary.com/le-wagon1234/image/upload/v1573617041/AF1QipNv5U120gsQKxg7Yx0n9UI2Z_w9SZk4eb3Aj4lv_w660-h440-c_dw29vb.jpg
Serenity Eco Guesthouse and Yoga,"Jl. Nelayan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",1,https://www.serenitybali.com/,62 811-3888-472,info@serenitybali.com,"Power, Vinyasa, Hatha, Yin, Restorative, Ashtanga, Aerial",7:30 - 19:30,https://res.cloudinary.com/le-wagon1234/image/upload/v1572916635/serenity-bali-yoga_tdifpr.jpg
Villa Lotus 8 Yoga Studio,"Jl. Raya Babakan Canggu No.5, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",1,https://www.villalotus8.com/,62 811-3888-472,contact@villalotus.com,"Hatha, Vinyasa, Aerial, Kundalini, Yin",6:45 - 20:30,https://res.cloudinary.com/le-wagon1234/image/upload/v1573616630/main-yoga-ubud_qmqmvm.jpg
Ecosfera Yoga,"Jl. Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",1,http://www.ecosferahotel.com/,62 812-3831-2505,info@ecosfera.com,"Power, Vinyasa, Hatha, Yin, Restorative, Ashtanga, Aerial",7:30 - 19:30,https://res.cloudinary.com/le-wagon1234/image/upload/v1573616491/ecosf4_vudl90.jpg
Odyssey MVMT,"Jl. Subak Canggu, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",1,http://www.odysseymvmt.com/,62 821-4721-5665,hello@odysseymvmt.com,"Vinyasa, Power",8:30 - 19:00,https://res.cloudinary.com/le-wagon1234/image/upload/v1572914531/odyssey-yoga-studio_mlmkhj.jpg
Pranava Yoga,"Jl Gangga Pelambingan, Gg. Dewi Sri, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",1,matrabali.com/pranava-yoga#schedule,62 819-9909-5888,info@matrabali.com,"Hatha, Vinyasa, Ashtanga, Aerial",8:00 - 18:30,https://res.cloudinary.com/le-wagon1234/image/upload/v1572917866/pranava-header_rqp3ag.jpg
The Peaceful Warriors,"Jl. Pura Taman Sari Jl. Padanglinjong No.22, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",1,http://www.thepeacefulwarriorsyoga.com/,62 361-300-3446,info@peacefulwarriors.com,"Power, Vinyasa, Hatha, Yin, Restorative, Ashtanga, Aerial",7:15 - 20:00,https://res.cloudinary.com/le-wagon1234/image/upload/v1573616860/home-hero_vafa1c.jpg
The Practice,"Pantai Batu Bolong St No.94, Canggu, North Kuta, Badung Regency, Bali",1,http://www.thepracticebali.com/,62 361-300-3446,reception@thepracticebali.com,"Tantric Hatha Yoga, Yoga Nidra",7:15 - 20:00,https://res.cloudinary.com/le-wagon1234/image/upload/v1572914351/the_practice_studio_xourec.jpg
Samadi Bali,"Jl. Padanglinjong No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",1,samadibali.com,62 812-3831-2505,contact@samadibali.com,"Hatha, Vinyasa, Ashtanga, Yin",7:00 - 21:00,https://res.cloudinary.com/le-wagon1234/image/upload/v1573617261/Bildschirmfoto-2018-02-13-um-14.38.48_ibbgxi.png
Udara Yoga,"Jl. Pura Kramat, Seseh 80351 Bali, Indonesia",1,https://www.udara-bali.com/,62 877-6537-7313,info@udara-bali.com,"Hatha, Vinyasa, Aerial, Kundalini, Yin",6:45 - 20:30,https://res.cloudinary.com/le-wagon1234/image/upload/v1572916722/udara_studio_azw1dt.jpg
